nombre,posicion,fecha de nacimiento,altura
Franco Armani,Arquero,16/10/1986,1.89
Jeremias Ledesma,Arquero,13/02/1993,1.86
Santiago Beltrán,Arquero,04/10/2004,1.89
Federico Gattoni,Defensor,16/02/1999,1.83
Gonzalo Montiel,Defensor,01/01/1997,1.75
Juan Portillo,Defensor,18/05/2000,1.66
German Pezzella,Defensor,27/06/1991,1.87
Lautaro Rivero,Defensor,01/11/2003,1.85
Sebastián Boselli,Defensor,04/12/2003,1.83
Fabricio Bustos,Defensor,28/04/1996,1.67
Paulo Diaz,Defensor,25/08/1994,1.80
Milton Casco,Defensor,11/04/1988,1.70
Marcos Acuña,Defensor,28/10/1991,1.72
Lucas Martínez Quarta,Defensor,10/05/1996,1.83
Maximiliano Meza,Mediocampista,15/12/1992,1.81
Juan Fernando Quintero,Mediocampista,18/01/1993,1.68
Gonzalo Martínez,Mediocampista,13/06/1993,1.72
Kevin Castaño,Mediocampista,29/09/2000,1.77
Matías Galarza Fonda,Mediocampista,11/02/2002,1.75
Enzo Pérez,Mediocampista,22/02/1986,1.78
Nacho Fernández,Mediocampista,12/01/1990,1.82
Giuliano Galoppo,Mediocampista,18/06/1999,1.79
Giorgio Costantini,Mediocampista,16/04/2006,1.85
Santiago Lencina,Mediocampista,04/09/2005,1.73
Maximiliano Salas,Delantero,01/12/1997,1.72
Miguel Borja,Delantero,26/01/1993,1.83
Facundo Colidio,Delantero,04/01/2000,1.75
Sebastián Driussi,Delantero,09/02/1996,1.79
Bautista Dadín,Delantero,20/05/2006,1.75
Alex Woiski,Delantero,17/03/2006,1.70
Ian Subiabre,Delantero,01/01/2007,1.72
